material_id,formula_pretty,nsites,composition,density,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap,efermi,is_gap_direct,is_metal,cbm,vbm,is_magnetic,total_magnetization,total_magnetization_normalized_formula_units,num_unique_magnetic_sites
mp-1200403,Nb4Ag2O11,34,Nb8 Ag4 O22,5.886136770751405,-8.434446470294116,-2.5187996194607827,0.0328736468067205,2.0845,1.91352358,False,False,3.9438,1.8593,False,3.39e-05,1.695e-05,0.0
mp-1199011,Nb4Ag2O11,34,Nb8 Ag4 O22,5.842477160277664,-8.439253752058823,-2.523606901225489,0.0280663650420134,2.3427999999999995,1.82080373,False,False,4.1106,1.7678,False,0.004211,0.0021055,0.0
mp-1219639,RbNb4Ag(PS10)2,28,Rb1 Nb4 Ag1 P2 S20,2.9764049577168348,-5.917431573571428,-0.9950447767304412,0.0,1.4346,2.7005023,False,False,4.1296,2.695,False,0.0018055,0.0018055,0.0
mp-1223407,KNb4Ag(PS10)2,28,K1 Nb4 Ag1 P2 S20,3.012801374555904,-5.91384529107143,-0.9860715067215144,0.0,1.3531999999999995,4.36272956,False,False,4.3629,3.0097,False,0.0,0.0,0.0
mp-1202965,Nb4Ag2O11,34,Nb8 Ag4 O22,5.865043287459868,-8.436883209411763,-2.5212363585784296,0.030436907689074,2.1763,1.91787386,False,False,3.997,1.8207,False,0.0044218,0.0022109,0.0
mp-1212605,GdNb5Ag2O15,46,Gd2 Nb10 Ag4 O30,5.635275963988269,-9.014407775217393,-2.72951739981884,0.0764065528571364,1.9167,1.23484815,False,False,3.1675,1.2508,True,14.0000008,7.0000004,1.0
mp-686747,K2Nb6Ag(PO8)3,36,K2 Nb6 Ag1 P3 O24,3.6083569477390354,-8.404280984722222,-2.8261071713915333,0.0,1.6358,0.47479773,False,False,2.1924,0.5566,False,0.00148,0.00148,0.0
mp-1220427,Nb6AgSe8,15,Nb6 Ag1 Se8,6.975034704145676,-7.0670190286666665,-0.9724817126944448,0.0860326918888843,0.0,4.96511665,False,True,,,False,0.1736411,0.1736411,0.0
mp-1210596,Nb14AgO36,51,Nb14 Ag1 O36,4.422642370016024,-9.233735286862746,-2.909368576111112,0.0201667996078391,0.2291999999999999,0.5956382,False,False,0.8249,0.5957,True,0.9991508,0.9991508,12.0
mp-1111323,Na2AgMoF6,10,Na2 Ag1 Mo1 F6,3.4701786204879377,-9.703125663124998,-2.373311165125,0.1486512671249986,1.7775,1.8564581,True,False,1.856,0.0785,True,2.9999635,2.9999635,1.0
mp-1110796,Rb2AgMoCl6,10,Rb2 Ag1 Mo1 Cl6,3.45605092959688,-4.270611299,-1.5965237096666662,0.022125837312501,1.0147000000000002,1.474918,True,False,2.4828,1.4681,True,2.9985798,2.9985798,1.0
mp-1103149,AgMoH4S4N,11,Ag1 Mo1 H4 S4 N1,2.9029247028101426,-5.319688820909091,-0.5777824974242424,0.0416894856818181,1.0969999999999998,1.36937336,False,False,2.4052,1.3082,False,0.0020026,0.0020026,0.0
mp-2218118,MgAgMoH4S4N,12,Mg1 Ag1 Mo1 H4 S4 N1,3.173371198585866,-5.025995728333333,-0.5433757638888886,0.2430571296527777,0.0,3.73552407,False,True,,,True,0.0002627,0.0002627,1.0
mp-1110808,Rb2AgMoBr6,10,Rb2 Ag1 Mo1 Br6,4.313949393215549,-3.846380347,-1.3495977556666667,0.0643405104791678,0.6687,0.92924893,True,False,1.5913,0.9226,True,2.997909,2.997909,1.0
mp-1229143,AgMoAsO6,36,Ag4 Mo4 As4 O24,4.937181814300375,-6.8835864919444445,-1.5422206412962955,0.015702411805555,2.019,3.04567304,False,False,3.046,1.027,False,0.0007831,0.000195775,0.0
mp-19318,Ag2MoO4,14,Ag4 Mo2 O8,6.23221806833446,-6.440105473571431,-1.2485939940476205,0.0010243624999963,1.8731,1.38453797,True,False,3.0582,1.1851,False,0.0,0.0,0.0
mp-1113226,Cs2AgMoF6,10,Cs2 Ag1 Mo1 F6,5.013218747467758,-5.301386422999999,-2.605894439597701,0.0,2.7943,3.32408558,True,False,3.3237,0.5294,True,2.9998053,2.9998053,1.0
mp-1110951,K2AgMoI6,10,K2 Ag1 Mo1 I6,4.343893079319542,-3.3597307350000003,-0.8805782016166667,0.1006193198333331,0.6873999999999998,1.89960018,True,False,2.5997,1.9123,True,3.0176058,3.0176058,1.0
